,id,text,sentiment
7896,7895,Hoje tem vídeo abrindo 65 emp :),1.0
7967,7965,Passar a tarde a estudar olha q bonito :),1.0
3611,3610,"Tava uma gaja no torneio, ai que filha da puta 
Ainda lhe tentei acertar com a bola na cara mas ela pôs a mão à frente e foi ponto nosso :)",1.0
9612,1139,"Chateadissima com a eliminação da Red Canids :( quem diria, eu com sentimentos fortíssimos por lol",0.0
15859,7386,Tô pensando em fazer uma colinha só que a professora é muito esperta :(,0.0
11807,3334,@chica_mello Eu to triste ainda :(,0.0
4372,4371,"Yeyyy, finalmente com meu twitter de volta!! :) https://t.co/QzvMb1S9HR",1.0
13337,4864,Queria sair :(,0.0
11559,3086,Eu também :( https://t.co/xMDt87lGoc,0.0
1343,1344,frio mal chegou e eu ja to doente :),1.0
1674,1674,"Enquanto as meninas dizem que melquiades é a melhor banda do mundo, eu digo que é até boazinha :)",1.0
13821,5348,única desvantagem de morar em cidade grande é que não dá pra ver essas paradinhas astronômicas :( https://t.co/wZFCXdTEck,0.0
17058,8585,@LoiraNoob Pq acabou tava no lobby do bed Wars esperando pra joga com vc :(,0.0
19249,10777,Queria ir no Imagina Samba :(,0.0
17228,8755,eu amo tanto o jimin :(,0.0
1004,1005,@ingrid_wr Tudo ótimo! E contigo mocinha?? :),1.0
25409,16942,"eu não fui pra casa até agr, estou louca pra tomar um banho e ir deitar :(",0.0
21800,13331,Nesse frio só queria alguém p dormir de conchinha :(,0.0
7921,7920,"então quando alguém te contar algo que te assusta, apura se aquilo é real antes de tachar os outros de louco :)",1.0
9058,585,gostaria de ser menos furona com luiza mas forças maiores me fazem ser :(,0.0
21183,12714,fico triste pq nao deram oportunidade pra ele :(,0.0
19736,11265,essa thread que a nat fez pra mim me deixa mt fraca :(,0.0
23173,14705,@RamonLHMC Noite não tem :(,0.0
2765,2764,"@rmontanare obrigado, querido! :)",1.0
19180,10708,"tô indo pra #salvador no fim de semana e o tempo por lá tá chuvoso
me deem dicas da cidade, porque praia não deve rolar. :(",0.0
17614,9141,@LuanaSPaes Só p varia um poco hauahau :(,0.0
25749,17282,all in foi uma ótima era sim mas... alguém trás o cabelo castanho do hoseok-ie de volta pfv :(,0.0
4808,4807,"Hoje faz 4 anos que troquei uma ideia com o Humberto, ô saudade de quem eu era naquele tempo :) https://t.co/yW3MFJbRwF",1.0
18269,9796,A dias q ñ durmo to cansado magoado exausto :(,0.0
13964,5491,"@samyswho Não, esses produtos são os not for sale ou sem o plástico :(",0.0
22176,13707,cara minha vó e minha mãe deixaram eu ter gato dnv mas eu não acho ngm pra me doar uma gatinha :(,0.0
24049,15581,@biscoitosazuis A gente tá na mesma vibe pelo q eu tô sentindo :(,0.0
20129,11658,eu sou completamente apaixonada :( https://t.co/ZKzIasJbth,0.0
9700,1227,@microtumblr maninha cadê tu to carente de carinho :(,0.0
7548,7547,"Bom dia! Fazer de todos os dias um novo presente, é o PRESENTE! :)",1.0
7087,7086,@OLLGPROBLEM Kkk bom dia Bia voltei :),1.0
17421,8948,@EvyCoul @IlonaSzaboC @igarape_org Que triste situação... :(,0.0
9278,805,"@jumperbrasil Tá foda! Kobe, Duncan, Pierce... Daqui a pouco vai ser Nowitzki e Carter. Maldito tempo que não pára... :(",0.0
8519,8517,Eu tô com MUITA vontade de quebrar meu notebook :),1.0
9382,909,@Um_Maximo Então você é lixo lixo :(,0.0
7091,7090,@infairesuga @BTS_twt Tá certinho :),1.0
22548,14080,Julia me ajuda — sorry tava nanando :(  https://t.co/TThW3Lu7vS,0.0
13556,5083,Que saudade de sexo :(,0.0
7792,7791,Segue o jogo da vida :),1.0
16209,7736,Odeio ter crise de gastrite :(,0.0
9865,1392,faz um mês já q mudei a alimentação pra ver se minha imunidade fica forte e nada :(,0.0
16811,8338,@Oh_gonzinho o que aconteceu? alguém brigou com você? o que fizeram meu amor? :(,0.0
17508,9035,"@seagukz É muito fofo mesmo, eu amei, amor. ;; Vontade de te amassar. :(",0.0
22809,14341,"Nossa até chorei, tadinha :(",0.0
3863,3862,"E esse making off ?? 
Ficou uma fofurinha!!! :) https://t.co/xpANs4tco9",1.0
11644,3171,"@psyhqic Obrigada, Dominic! :( ❤️",0.0
4180,4179,Sorte que trouxe isso pra comer :) https://t.co/H7XShWY2vM,1.0
11400,2927,"Queria ir p praia, mas tenho q estudar :(",0.0
5387,5386,"Texto massa de Karina Vieira, do AUR,, sobre Dear White People :) https://t.co/dYoGhck1yk",1.0
25531,17064,Vocês que gostam de comida japonesa são tão felizinhos que eu fico com vontade de gostar mas não adianta que não consigo :(,0.0
16180,7707,"@louisecaetanom naaao, porém o vidro ta todo trincado e machuca quando mexe em cima :(",0.0
24177,15709,"@Gomes_Vini11 Alerrandro puxou você, eu não dei essa sorte :(",0.0
