"id","text","sentiment"
"236","Morreu o moço latino americano :(",0
"237","Tt de cait,não confio :(",0
"238","Acabei de arrumar a casa agora :(",0
"239","triste demais pela lindsay, mulher nenhuma merece ser agredida :(",0
"240","Nada que me agrade en Cinépolis  :(",0
"241","@feelskarla @xpombos Caralho, sério? Me desculpa :(",0
"242","quero colocar piercing também :(",0
"243","eu só quero assistir um vídeo no youtube :( 

pros deuses da internet é pedir muito",0
"244","Eu acho q to em crise :(",0
"245","@_cassiagalvao tu tava dormindo bb
mas tentei deixar tua cama arrumadinha
hey vem faze chima p mim entau HUGDYUD
to sofrenu aqui :(",0
"246","BOY, EU AINDA TO SEM ACREDITAR NA MORTE DE BELCHIOR :(",0
"247","No me da para nada :( https://t.co/qJhCUEhvM3",0
"248","@DJMinerinhoOFC ta foda amor :(",0
"249","Não tem morango :(",0
"250","@priganiko Mano, é longe demais socorro :(",0
"251","Chatiadíssimo que não vou conseguir ver #TheLeftovers ao vivo hoje. :(",0
"252","@heir1994 A CARA QUE ELE FEZ ANTES DE SAIR FOI EXATAMENTE ESSA :(",0
"253","@_PedroHooligan @britneyspears Pois é :( eu achava o rosto dela maravilho",0
"254","@XandAviao Partilhamos da mesma tristeza, Xand. :(",0
"255","Não me respondes ao snap :( — se e quem eu estou a pensar já vou lá responder ehe... https://t.co/N8VnpYh9sH",0
"256","@MarcosMp816 Não to com ele agr kkkkkkkkk :(",0
"257","é normal ter uma namorada que me bata ao ponto de sangrar e desmaiar? :(",0
"258","@sweetiedinahj Tudo bem eu to acostumada :(",0
"259","o sorriso e o sotaque aaaa :(  #ZFNaHoraDoFaro",0
"260","ofereçam- me :( https://t.co/2J1Baueduu",0
"261","@protectcoci @deslizanobilau @undercanalha01 ai eu amo tanto vcs que chega a doer. :( vamo logo se ver pfvrrrrrr",0
"262","dicas p não passar raiva sempre que vou arrumar o cabelo :(",0
"263","@borges_kelli 9 reais :(",0
"264","@Laari_rr Sdds mil dá escola :( tá fazendo o que de bom dá vida querida!?",0
"265","Queria algm que trocasse ADM ou RT cmg :(",0
"266","@JiminnieWings Sou pobre :(",0
"267","Hora da Red Canids (RED) X(DW) Dire Wolves e nada do @StoneDYooDa :( que continua esquentando o banco! #MSI2017",0
"268","uma semana depois a gnt ficou :( https://t.co/p7Lx3IGxWo",0
"269","@cysfu porque nao? :(",0
"270","Aquele momento que você se apaixona pela sua versão doll mas lembra que é só um desenho :(",0
"271","só pitas é q me dão stalk enfim :( jk",0
"272","@lorena_dias10 Nunca gosto das make dele :(",0
"273","Vontade de apanhar a puta hoje :(",0
"274","Vi uns tweets tão pesados agr que me deixaram mal :(",0
"275","status: participando de um sorteio do álbum da taeyeon porém perdendo as esperanças :(",0
"276","gente, vocês me prometem que algum dia isso de signo vai parar? :(",0
"277","A Débora deu me unf :(",0
"278","Que dor no meu core vei, que merda :(",0
"279","@kindszayn Não desiste de mim :(",0
"280","Mds, não aguento mais usar essa liga no aparelho! :(",0
